time,iht0_DispersedBubble,iht1_CapSlug,iht2_AnnularMist,iht3_Stratified,iht4_InvertedAnnular,iht5_InvertedSlug,iht6_DispersedDroplet
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0.59225154227362,0.40774845772638

