time,idfr0_DispersedBubble,idfr1_CapSlug,idfr2_AnnularMist,idfr3_Stratified,idfr4_InvertedAnnular,idfr5_InvertedSlug,idfr6_DispersedDroplet
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1

